
(10)标题： s10e03的那个闪电侠是谁啊 	 链接：http://tieba.baidu.com//p/4815383728 	 发帖人：_麋鹿迷了路 	 发帖时间：2016-10 	 回复数量： 16
(11)标题： 【2015特别篇】长期更新，重建BigBang摆设场景！！ 	 链接：http://tieba.baidu.com//p/3529028413 	 发帖人：jonekingcafa 	 发帖时间：2015-01 	 回复数量： 951
(12)标题： 【2015特别篇】【第二期】BigBang场景，更新灯光及部分贴图 	 链接：http://tieba.baidu.com//p/3553218364 	 发帖人：jonekingcafa 	 发帖时间：2015-01 	 回复数量： 244
(13)标题： 后脑勺发际是个尖儿的男生长得都很帅有木有 	 链接：http://tieba.baidu.com//p/2932322606 	 发帖人：睡衣西施 	 发帖时间：2014-03 	 回复数量： 75
(14)标题： 额 这集过后，tbbt的amy 黑全冒出来了 ，真的是 ... 	 链接：http://tieba.baidu.com//p/2965930880 	 发帖人：qishuang68 	 发帖时间：2014-04 	 回复数量： 669
(15)标题： 开个科普贴，本人在印度（农村）生活过8个月，有什么想问的 	 链接：http://tieba.baidu.com//p/1491364062 	 发帖人：黑色诱惑1... 	 发帖时间：2014-03 	 回复数量： 29975
(16)标题： 请问谢尔顿说选择美剧很重要是在哪集啊？ 	 链接：http://tieba.baidu.com//p/5369546794 	 发帖人：人走茶糜 	 发帖时间：10-13 	 回复数量： 0
(17)标题： 不觉得amy是女版谢尔顿 	 链接：http://tieba.baidu.com//p/1276463516 	 发帖人：环保从节... 	 发帖时间：2011-11 	 回复数量： 0
(18)标题： 福利。。。。。接住咯 	 链接：http://tieba.baidu.com//p/5386976590?fid=1441624 	 发帖人：一粒红尘... 	 发帖时间：10-23 	 回复数量： 0
(19)标题： 不解为什么那么多人讨厌AMY，其实她就是个女版谢尔顿。 	 链接：http://tieba.baidu.com//p/1272506400 	 发帖人：李霄Shawn_Lee 	 发帖时间：2011-11 	 回复数量： 46
(20)标题： 今天在回顾BigBang第6季 	 链接：http://tieba.baidu.com//p/5326393742 	 发帖人：三个人的... 	 发帖时间：9-16 	 回复数量： 28
(21)标题： 第七季第六集 penny 耍浪漫的那首萨克斯风是什么歌 	 链接：http://tieba.baidu.com//p/3816948871 	 发帖人：cjr200 	 发帖时间：2015-06 	 回复数量： 6
(22)标题： 谢尔顿竟然不是教授。 	 链接：http://tieba.baidu.com//p/3349383137 	 发帖人：children大西瓜 	 发帖时间：2014-10 	 回复数量： 65
(23)标题： 我发表了一篇图片贴，大伙来看看吧~ 	 链接：http://tieba.baidu.com//p/5385790887?fid=1441624 	 发帖人：用心做的... 	 发帖时间：10-23 	 回复数量： 1
(24)标题： 生活大爆炸之为什么我们的文化还要你来教 	 链接：http://tieba.baidu.com//p/5288157821 	 发帖人：冰缘瑞雪... 	 发帖时间：8-24 	 回复数量： 8
(25)标题： 第四季第六集耳朵玩的文字游戏 	 链接：http://tieba.baidu.com//p/3337640548 	 发帖人：owlllllx_x 	 发帖时间：2014-10 	 回复数量： 10
(26)标题： 谁能告诉我这是什么梗 	 链接：http://tieba.baidu.com//p/4205773965 	 发帖人：想做第六人 	 发帖时间：2015-12 	 回复数量： 19
(27)标题： 又想唱歌的谢耳朵 	 链接：http://tieba.baidu.com//p/5284505679 	 发帖人：中国式半仙 	 发帖时间：8-22 	 回复数量： 9
(28)标题： 多少人青春的回忆，感动。片名：《星语心愿 》主演：任贤齐 张柏芝 	 链接：http://tieba.baidu.com//p/5383149171?fid=1441624 	 发帖人：海棠资讯 	 发帖时间：10-21 	 回复数量： 18
(29)标题： 街头大爬梯，迈克尔杰克逊的魅力有多大，路人惊叹不已。 	 链接：http://tieba.baidu.com//p/5383155715?fid=1441624 	 发帖人：海棠资讯 	 发帖时间：10-21 	 回复数量： 10
(30)标题： 其实我感觉辞掉科学家顾问是合理的…… 	 链接：http://tieba.baidu.com//p/1415812517 	 发帖人：耳朵和夏... 	 发帖时间：2012-02 	 回复数量： 36
(31)标题： 第一次见识到水母的美 	 链接：http://tieba.baidu.com//p/5377559294?fid=1441624 	 发帖人：我是楼大C 	 发帖时间：10-17 	 回复数量： 9
(32)标题： 把公司的业务变得极其简单。我们要竭尽全力的把公司的业务变得极 	 链接：http://tieba.baidu.com//p/5385917793?fid=1441624 	 发帖人：鬼夫子SYB 	 发帖时间：10-23 	 回复数量： 0
(33)标题： 又看了一遍  很喜欢谢耳朵滴妈咪 	 链接：http://tieba.baidu.com//p/5372656330 	 发帖人：宅女19 	 发帖时间：10-14 	 回复数量： 4
(34)标题： 回刷时发现，第一季竟然提到了Amy的扮演者 	 链接：http://tieba.baidu.com//p/5374207032 	 发帖人：青春没有... 	 发帖时间：10-15 	 回复数量： 13
(35)标题： 我发表了一篇图片贴，大伙来看看吧~ 	 链接：http://tieba.baidu.com//p/5385792604?fid=1441624 	 发帖人：用心做的... 	 发帖时间：10-23 	 回复数量： 1
(36)标题： 香水梨想吃的找我 	 链接：http://tieba.baidu.com//p/5385796283?fid=1441624 	 发帖人：用心做的... 	 发帖时间：10-23 	 回复数量： 0
(37)标题： 有什么不开心的，说出来开心开心 	 链接：http://tieba.baidu.com//p/5273360644 	 发帖人：中国式半仙 	 发帖时间：8-15 	 回复数量： 1
(38)标题： 最近才发现。十万块能买的最有意义的东西，是它 	 链接：http://tieba.baidu.com//p/5385333465 	 发帖人：舞蝶舞舞... 	 发帖时间：10-22 	 回复数量： 1
(39)标题： 【不YY的事】催泪的前奏——说说谢尔顿，友情是多么美好的事情 	 链接：http://tieba.baidu.com//p/3341081402 	 发帖人：Z950 	 发帖时间：2014-10 	 回复数量： 572
(40)标题： 你们大学里都有人看生活大爆炸吗 	 链接：http://tieba.baidu.com//p/5370847419 	 发帖人：翔剑棋 	 发帖时间：10-13 	 回复数量： 26
(41)标题： 发现一个爱情公寓抄袭生活大爆炸的地方 	 链接：http://tieba.baidu.com//p/3927610280 	 发帖人：Nathan_森 	 发帖时间：2015-07 	 回复数量： 242
(42)标题： 干什么都不容易呀 	 链接：http://tieba.baidu.com//p/5380253313?fid=1441624 	 发帖人：liuyong606113 	 发帖时间：10-19 	 回复数量： 7
(43)标题： 【资原貼】生活大爆炸1-11季，超清中英字幕 	 链接：http://tieba.baidu.com//p/5377544135 	 发帖人：红人怪 	 发帖时间：10-17 	 回复数量： 27
(44)标题： 谢尔顿跟伯纳德好像没有说过他们是哪个学校毕业的 	 链接：http://tieba.baidu.com//p/5377195861 	 发帖人：夏之风winding 	 发帖时间：10-17 	 回复数量： 10
(45)标题： 谢尔顿在第四季第六集里玩的那个文字游戏 	 链接：http://tieba.baidu.com//p/1195569719 	 发帖人：雨夜罗曼史 	 发帖时间：2014-03 	 回复数量： 125
(46)标题： 《生活大爆炸》将迎来第十一季？ 	 链接：http://tieba.baidu.com//p/4725808140 	 发帖人：将轨 	 发帖时间：2016-08 	 回复数量： 238
